Sl.No.,Cr,Ti,V,W,beta_transus,solidus,delta,VEC,BSD,epsilon_p
202,10,30,25,35,789.89,1903.86,1113.97,5.15,0.877,7.879
203,15,15,35,35,771.62,1986.93,1215.31,5.35,0.915,4.553
204,25,15,25,35,861.58,1921.35,1059.77,5.45,0.935,3.79
205,5,20,15,60,836.4,2308.87,1472.47,5.45,0.935,3.79
206,20,30,15,35,902.34,1795.25,892.91,5.25,0.896,5.724
207,35,25,5,35,1157.06,1710.53,553.47,5.45,0.935,3.79
208,5,5,30,60,851.91,2385.6,1533.69,5.6,0.963,0
209,25,25,15,35,949.35,1794.06,844.71,5.35,0.915,4.553
210,20,5,15,60,1117.32,2357.87,1240.55,5.75,0.992,0
211,35,15,15,35,1033.82,1842.13,808.31,5.55,0.954,2.857
212,10,35,5,50,882.33,1942.92,1060.59,5.25,0.896,5.724
213,10,15,30,45,825.37,2110.1,1284.73,5.4,0.925,4.157
214,20,10,30,40,847.69,2070.1,1222.41,5.5,0.944,3.381
215,10,5,30,55,869.42,2333.91,1464.49,5.6,0.963,0
216,20,5,25,50,960.26,2260.47,1300.21,5.65,0.973,0
217,15,10,35,40,807.14,2090.23,1283.09,5.45,0.935,3.79
218,20,30,5,45,1071.18,1798.81,727.63,5.35,0.915,4.553
219,20,15,20,45,946.94,2030.47,1083.53,5.5,0.944,3.381
220,5,35,20,40,816.66,1973.43,1156.77,5.1,0.868,9.506
221,30,5,15,50,1151.31,2177.34,1026.03,5.75,0.992,0
222,25,5,25,45,956.7,2184.15,1227.45,5.65,0.973,0
223,20,10,15,55,1068.74,2194.51,1125.77,5.65,0.973,0
224,20,10,25,45,916.25,2116.28,1200.03,5.55,0.954,2.857
225,20,25,20,35,869.64,1843.95,974.31,5.3,0.906,5.051
226,20,10,35,35,784.51,2022.76,1238.25,5.45,0.935,3.79
227,15,5,20,60,1013.27,2399.62,1386.35,5.7,0.982,0
228,25,30,10,35,1005.77,1742.5,736.73,5.3,0.906,5.051
229,10,5,25,60,925.94,2407.65,1481.71,5.65,0.973,0
230,30,25,10,35,1040.59,1748.34,707.75,5.4,0.925,4.157
231,30,5,30,35,852.58,2066.43,1213.85,5.6,0.963,0
232,20,15,30,35,806.92,1957.79,1150.87,5.4,0.925,4.157
233,30,15,20,35,939.06,1881.29,942.23,5.5,0.944,3.381
234,10,20,10,60,957.76,2217.01,1259.25,5.5,0.944,3.381
235,10,20,35,35,760.35,1970.38,1210.03,5.25,0.896,5.724
236,15,30,20,35,828.75,1850.96,1022.21,5.2,0.887,6.642
237,15,5,15,65,1077.87,2460.26,1382.39,5.75,0.992,0
238,15,45,0,40,1133.4,1741.89,608.49,5.1,0.868,9.506
239,15,50,0,35,1123.37,1719.6,596.23,5,0.848,14.222
240,10,55,0,35,1137.11,1781.46,644.35,4.9,0.829,21.366
241,25,35,0,40,1187.28,1686.75,499.47,5.3,0.906,5.051
242,20,45,0,35,1126.41,1680.3,553.89,5.1,0.868,9.506
243,40,25,0,35,1272.88,1682.87,409.99,5.5,0.944,3.381
244,30,35,0,35,1186.86,1654.27,467.41,5.3,0.906,5.051
245,25,40,0,35,1153.44,1659.59,506.15,5.2,0.887,6.642
246,20,40,0,40,1154.35,1703.66,549.31,5.2,0.887,6.642
247,35,30,0,35,1224.21,1662.3,438.09,5.4,0.925,4.157
248,0,30,30,40,766.44,2033.13,1266.69,5.1,0.868,9.506
249,0,25,35,40,761.08,2041.55,1280.47,5.15,0.877,7.879
250,0,40,25,35,792.82,1968.45,1175.63,4.95,0.839,17.454
251,0,25,40,35,748.63,1991.44,1242.81,5.1,0.868,9.506
252,0,5,40,55,789.12,2269.65,1480.53,5.5,0.944,3.381
253,0,20,30,50,762.35,2172.2,1409.85,5.3,0.906,5.051
254,0,10,40,50,770.63,2191.94,1421.31,5.4,0.925,4.157
255,0,30,35,35,749.98,1980.85,1230.87,5.05,0.858,11.597
256,0,35,30,35,762.31,1973.3,1210.99,5,0.848,14.222
257,0,20,40,40,765.02,2053.19,1288.17,5.2,0.887,6.642
258,0,35,25,40,788.23,2027.26,1239.03,5.05,0.858,11.597
259,0,5,45,50,791.29,2209.9,1418.61,5.45,0.935,3.79
260,0,5,5,90,500,3103.65,2603.65,5.85,1.011,0
261,0,15,35,50,758.41,2179.6,1421.19,5.35,0.915,4.553
262,0,10,35,55,771.56,2256.85,1485.29,5.45,0.935,3.79
263,0,10,20,70,682.77,2537.1,1854.33,5.6,0.963,0
264,0,20,15,65,701.7,2463.97,1762.27,5.45,0.935,3.79
265,0,10,30,60,756.31,2334.02,1577.71,5.5,0.944,3.381
266,0,10,10,80,567.06,2820.71,2253.65,5.7,0.982,0
267,0,5,35,60,774.17,2339.62,1565.45,5.55,0.954,2.857
268,0,15,5,80,591.58,2886.17,2294.59,5.65,0.973,0
269,0,5,50,45,794.78,2158.17,1363.39,5.4,0.925,4.157
270,0,40,15,45,869.87,2086.72,1216.85,5.05,0.858,11.597
271,0,15,40,45,777.2,2119.91,1342.71,5.3,0.906,5.051
272,0,35,10,55,869.2,2266.87,1397.67,5.2,0.887,6.642
273,0,5,10,85,537.21,2928.08,2390.87,5.8,1.002,0
274,0,15,25,60,736.04,2336.31,1600.27,5.45,0.935,3.79
275,0,5,15,80,612.45,2772.14,2159.69,5.75,0.992,0
276,0,25,10,65,747.8,2496.75,1748.95,5.4,0.925,4.157
277,0,5,25,70,715.67,2520.5,1804.83,5.65,0.973,0
278,0,10,45,45,784.28,2136.49,1352.21,5.35,0.915,4.553
279,0,45,10,45,963.71,2081.44,1117.73,5,0.848,14.222
280,0,50,10,40,995,2016.89,1021.89,4.9,0.829,21.366
281,0,25,25,50,762.47,2168.86,1406.39,5.25,0.896,5.724
282,0,40,10,50,921.14,2164.61,1243.47,5.1,0.868,9.506
283,0,10,50,40,781.09,2088.2,1307.11,5.3,0.906,5.051
284,0,10,55,35,764.2,2045.17,1280.97,5.25,0.896,5.724
285,0,45,15,40,901.6,2019.79,1118.19,4.95,0.839,17.454
286,0,20,45,35,752.92,2005.49,1252.57,5.15,0.877,7.879
287,0,55,10,35,1009.29,1966.62,957.33,4.8,0.81,31.517
288,0,45,20,35,837.18,1965.87,1128.69,4.9,0.829,21.366
289,0,35,15,50,834.65,2167.8,1333.15,5.15,0.877,7.879
290,0,30,20,50,774.78,2168.17,1393.39,5.2,0.887,6.642
291,0,50,15,35,905.45,1965.28,1059.83,4.85,0.82,26.03
292,0,15,50,35,759.81,2023.28,1263.47,5.2,0.887,6.642
293,0,5,55,40,785.08,2112.61,1327.53,5.35,0.915,4.553
294,0,40,20,40,830.55,2023.08,1192.53,5,0.848,14.222
295,0,15,45,40,772.86,2068.57,1295.71,5.25,0.896,5.724
296,0,5,60,35,768.58,2071.69,1303.11,5.3,0.906,5.051
297,0,20,35,45,766.05,2107.8,1341.75,5.25,0.896,5.724
298,0,35,20,45,806.97,2090.42,1283.45,5.1,0.868,9.506
299,0,15,20,65,704.62,2440.41,1735.79,5.5,0.944,3.381
300,0,15,30,55,758.98,2250.59,1491.61,5.4,0.925,4.157
301,0,15,15,70,663.33,2566.06,1902.73,5.55,0.954,2.857
302,0,5,20,75,674.09,2636.5,1962.41,5.7,0.982,0
303,0,25,20,55,753.17,2254.34,1501.17,5.3,0.906,5.051
304,0,5,30,65,750.72,2422.35,1671.63,5.6,0.963,0
305,0,25,15,60,738.81,2361.64,1622.83,5.35,0.915,4.553
306,0,15,10,75,613.96,2714.91,2100.95,5.6,0.963,0
307,0,30,25,45,774.08,2094.13,1320.05,5.15,0.877,7.879
308,0,20,20,60,727.11,2345.86,1618.75,5.4,0.925,4.157
309,0,20,5,75,678.69,2777.54,2098.85,5.55,0.954,2.857
310,0,30,15,55,792.32,2261.21,1468.89,5.25,0.896,5.724
311,0,30,10,60,811.49,2381.26,1569.77,5.3,0.906,5.051
312,0,10,5,85,500.45,2993.56,2493.11,5.75,0.992,0
313,0,20,10,70,681.3,2607.77,1926.47,5.5,0.944,3.381
314,0,10,15,75,632.02,2668.23,2036.21,5.65,0.973,0
315,0,10,25,65,726.49,2426.46,1699.97,5.55,0.954,2.857
316,0,20,25,55,748.43,2250.1,1501.67,5.35,0.915,4.553
317,0,30,15,55,793.62,2260.78,1467.16,5.25,0.896,5.724
318,10,30,15,45,885.47,1972.97,1087.50,5.25,0.896,5.724
319,0,30,20,50,781.88,2167.97,1386.09,5.2,0.887,6.642
320,0,35,15,50,837.22,2167.50,1330.28,5.15,0.877,7.879
321,10,25,15,50,887.81,2060.63,1172.81,5.35,0.915,4.553
322,5,30,15,50,825.00,2102.34,1277.34,5.25,0.896,5.724
323,100,0,0,0,0.00,2180.00,2180.00,6,1.040,0.000
324,0,100,0,0,882.00,1668.00,786.00,4,0.657,0.000
325,0,0,100,0,0.00,2183.00,2183.00,5,0.848,14.222
326,0,0,0,100,0.00,3695.00,3695.00,6,1.040,0.000
