chemical formula,"lattice constant, a0","lattice mismatch, delta","valence electron concentration, vec","average displacement, <u>","displacement l21 norm, l21_norm_u",<u>/l21_norm_u,"local lattice displacement, lld","total occupied states, g_occ","total bonding states, g_bond",g_occ/g_bond,"Hartigan's dip, dip",epsilon_p
Mo18Nb18Ta18V18,3.1959067606721447,3.5881654748165124,5.25,0.06637839836273508,4.779244682116926,0.01388888888888889,0.045138888888888895,3.6523757428391237,3.9102749030891224,0.9340457725756678,0.020172837723400682,3.8107468509278988
Mo18Nb18Ta18V18,3.1959185231083773,3.5881654748165124,5.25,0.061976449267267926,4.462304347243291,0.01388888888888889,0.04513888888888889,3.6152734738835117,3.8998880761335126,0.9270198024420798,0.01954324517129115,4.079335037504279
Mo18Nb18Ta18V18,3.1956903332402273,3.5881654748165124,5.25,0.06132394963937656,4.415324374035112,0.01388888888888889,0.04513888888888889,3.618430449497483,3.9183127796224824,0.923466464524077,0.018038508183924034,4.216340456508988
Mo18Nb18Ta18V18,3.1954217593114507,3.5881654748165124,5.25,0.06486207853437412,4.670069654474936,0.01388888888888889,0.04513888888888889,3.6319876660566415,3.89878092428164,0.9315700821855858,0.016086516517107043,3.9062883068854717
Mo18Nb18Ta18V18,3.1960586027429727,3.5881654748165124,5.25,0.06510341180552369,4.687445649997706,0.013888888888888888,0.04513888888888889,3.6575009264225216,3.9296767106725223,0.9307383776607362,0.018651152569469948,3.93802511281865
Mo18Nb18Ta18W18,3.2296370757565738,2.4561403508771953,5.5,0.0338137499123023,2.4345899936857656,0.01388888888888889,0.04861111111111111,3.8321317684922427,3.8958225343422423,0.9836515228071719,0.013193486865868548,
Mo18Nb18Ta18W18,3.2301075462820883,2.4561403508771953,5.5,0.03630221371071913,2.6137593871717772,0.01388888888888889,0.04861111111111111,3.818504896698501,3.8859187829860007,0.9826517510909742,0.014000221782616265,
Mo18Nb18Ta18W18,3.2299480878229323,2.4561403508771953,5.5,0.0360559150313438,2.596025882256754,0.013888888888888888,0.04861111111111111,3.847995787714077,3.847995787714077,1.0,0.010748471134041298,
Mo18Nb18Ta18W18,3.230558622888598,2.4561403508771953,5.5,0.03819783611696434,2.7502442004214327,0.013888888888888888,0.048611111111111105,3.7753433206885623,3.8413950299573125,0.9828052806978603,0.022660437123023826,
Mo18Nb18Ta18W18,3.229854315276505,2.4561403508771953,5.5,0.03423807104602916,2.4651411153140996,0.013888888888888888,0.04861111111111111,3.765377240253075,3.8334252097530754,0.9822487812395893,0.012805032306354547,
Mo18Nb18Ta18V18W18,3.187977886577783,3.282448865991859,5.4,0.05608170375480528,5.047353337932475,0.011111111111111112,0.03777777777777778,3.7412973028389716,4.092254478638972,0.9142386726847145,0.01783809012590348,4.607820167844693
Mo18Nb18Ta18V18W18,3.1882762840959327,3.282448865991859,5.4,0.04864232980656477,4.377809682590829,0.011111111111111112,0.037777777777777785,3.757558500417212,4.098286233717213,0.9168609233545518,0.015917982988775045,4.488921132788164
Mo18Nb18Ta18V18W18,3.18802743052154,3.282448865991859,5.4,0.052694636447519254,4.742517280276733,0.011111111111111112,0.037777777777777785,3.8071185837133927,4.1409050597133925,0.9193928691465575,0.013274106380186994,4.380611011512883
Mo18Nb18Ta18V18W18,3.1880032469066535,3.282448865991859,5.4,0.05630962888124035,5.067866599311632,0.011111111111111112,0.03777777777777778,3.7441986885393117,4.0862968916393125,0.9162816084656149,0.015221644370565893,4.514549210058249
Mo18Nb18Ta18V18W18,3.187859099391199,3.282448865991859,5.4,0.05238870509033949,4.714983458130554,0.01111111111111111,0.03777777777777778,3.7044714523506106,4.06298678485061,0.9117606451892062,0.014198485353322908,4.727791378036272
Hf18Nb18Ti18V18Zr18,3.3505155796349704,6.420337809559277,4.4,0.25140642799612356,22.62657851965112,0.011111111111111112,0.026666666666666672,2.539018417401054,3.2731261940010548,0.7757166289691292,0.02443773979130995,59.12025628047377
Hf18Nb18Ti18V18Zr18,3.349521431133481,6.420337809559277,4.4,0.2600798719723627,23.407188477512644,0.011111111111111112,0.02666666666666667,2.5794488526607178,5.717300460940716,0.4511655230091405,0.02628265369547154,1516.8790934723893
Hf18Nb18Ti18V18Zr18,3.349251600979188,6.420337809559277,4.4,0.23244907550435062,20.920416795391557,0.011111111111111112,0.026666666666666672,2.6163678035069564,0.30266062210695593,8.644559656599032,0.023255877069031473,
Hf18Nb18Ti18V18Zr18,3.348950745607755,6.420337809559277,4.4,0.21386189174900455,19.24757025741041,0.011111111111111112,0.026666666666666672,2.5935851018037797,3.4714642035037793,0.7471156116736135,0.028556097975722283,93.28766821414138
Hf18Nb18Ti18V18Zr18,3.3493758050304065,6.420337809559277,4.4,0.21660889078809156,19.49480017092824,0.011111111111111112,0.026666666666666672,2.5902174014110773,5.515556415811078,0.46962032588151464,0.023491010593039412,1349.5707412080792
Mo18Nb18Ti18V18,3.168603760106171,3.7562352695175383,5.0,0.08491533882909073,6.113904395694533,0.013888888888888888,0.041666666666666664,3.461282350853871,3.94305459312887,0.8778175064797401,0.017966190023642165,7.777201514882108
Mo18Nb18Ti18V18,3.1693906069394506,3.7562352695175383,5.0,0.08537112040134523,6.146720668896856,0.01388888888888889,0.04166666666666667,3.4516121624382725,3.9359844468132716,0.8769374495960811,0.01660389782506899,7.906789533893971
Mo18Nb18Ti18V18,3.1681922520075503,3.7562352695175383,5.0,0.08881913975348536,6.394978062250946,0.01388888888888889,0.041666666666666664,3.4379062213354503,3.89815031208545,0.8819326978431018,0.014333871265515538,7.213535285960461
Mo18Nb18Ti18V18,3.1688442198502362,3.7562352695175383,5.0,0.08463170139447823,6.093482500402433,0.013888888888888888,0.041666666666666664,3.412792620195488,3.9117421900704876,0.8724482479593041,0.01464254591443785,8.620548440869243
Mo18Nb18Ti18V18,3.1692502396113467,3.7562352695175383,5.0,0.08128452883968602,5.852486076457394,0.013888888888888888,0.041666666666666664,3.35682258106404,3.841732966239039,0.873778216904619,0.018317006320590447,8.399666916635397
Mo18Nb18Ta18Ti18V18,3.2005897354908033,3.5697373671738317,5.0,0.09819910087237367,8.83791907851363,0.011111111111111112,0.03333333333333333,3.3754656553029188,6.333103079222916,0.5329876386153966,0.014724491046483467,869.8230209989724
Mo18Nb18Ta18Ti18V18,3.201011961856359,3.5697373671738317,5.0,0.08017004438157314,7.215303994341583,0.011111111111111112,0.03333333333333333,3.4016446375676894,5.33966686356769,0.6370518469564009,0.014966724034637897,355.91211724726236
